time,value
00:00:00,48
00:01:00,48
00:02:00,50
00:03:00,50
00:04:00,49
00:05:00,50
00:06:00,49
00:07:00,50
00:08:00,49
00:09:00,50
00:10:00,49
00:11:00,48
00:12:00,50
00:13:00,49
00:14:00,49
00:15:00,48
00:16:00,50
00:17:00,49
00:18:00,47
00:19:00,48
00:20:00,49
00:21:00,50
00:22:00,55
00:23:00,54
00:24:00,55
00:25:00,57
00:26:00,54
00:27:00,54
00:28:00,51
00:29:00,55
00:30:00,55
00:31:00,51
00:32:00,53
00:33:00,51
00:34:00,50
00:35:00,50
00:36:00,50
00:37:00,49
00:38:00,49
00:39:00,49
00:40:00,49
00:41:00,51
00:42:00,48
00:43:00,48
00:44:00,48
00:45:00,51
00:46:00,49
00:47:00,50
00:48:00,48
00:49:00,47
00:50:00,48
00:51:00,47
00:52:00,48
00:53:00,47
00:54:00,48
00:55:00,48
00:56:00,48
00:57:00,48
00:58:00,47
00:59:00,46
01:00:00,47
01:01:00,46
01:02:00,45
01:03:00,46
01:04:00,47
01:05:00,46
01:06:00,46
01:07:00,47
01:08:00,46
01:09:00,46
01:10:00,47
01:11:00,47
01:12:00,48
01:13:00,46
01:14:00,47
01:15:00,47
01:16:00,47
01:17:00,46
01:18:00,47
01:19:00,46
01:20:00,60
01:21:00,52
01:22:00,50
01:23:00,48
01:24:00,49
01:25:00,48
01:26:00,48
01:27:00,49
01:28:00,49
01:29:00,49
01:30:00,47
01:31:00,48
01:32:00,49
01:33:00,48
01:34:00,47
01:35:00,49
01:36:00,48
01:37:00,48
01:38:00,49
01:39:00,48
01:40:00,64
01:41:00,51
01:42:00,51
01:43:00,50
01:44:00,47
01:45:00,52
01:46:00,52
01:47:00,49
01:48:00,53
01:49:00,52
01:50:00,50
01:51:00,53
01:52:00,52
01:53:00,50
01:54:00,52
01:55:00,50
01:56:00,48
01:57:00,49
01:58:00,50
01:59:00,50
02:00:00,49
02:01:00,46
02:02:00,46
02:03:00,45
02:04:00,49
02:05:00,49
02:06:00,47
02:07:00,48
02:08:00,47
02:09:00,49
02:10:00,47
02:11:00,45
02:12:00,51
02:13:00,49
02:14:00,47
02:15:00,46
02:16:00,46
02:17:00,47
02:18:00,59
02:19:00,47
02:20:00,46
02:21:00,45
02:22:00,46
02:23:00,44
02:24:00,45
02:25:00,45
02:26:00,45
02:27:00,45
02:28:00,44
02:29:00,44
02:30:00,44
02:31:00,45
02:32:00,44
02:33:00,43
02:34:00,50
02:35:00,47
02:36:00,45
02:37:00,46
02:38:00,46
02:39:00,47
02:40:00,46
02:41:00,46
02:42:00,47
02:43:00,47
02:44:00,47
02:45:00,47
02:46:00,47
02:47:00,47
02:48:00,46
02:49:00,47
02:50:00,47
02:51:00,47
02:52:00,47
02:53:00,47
02:54:00,47
02:55:00,53
02:56:00,51
02:57:00,45
02:58:00,45
02:59:00,44
03:00:00,44
03:01:00,44
