time,value
00:00:00,63
00:01:00,62
00:02:00,63
00:03:00,62
00:04:00,59
00:05:00,59
00:06:00,57
00:07:00,61
00:08:00,58
00:09:00,57
00:10:00,58
00:11:00,54
00:12:00,56
00:13:00,56
00:14:00,55
00:15:00,57
00:16:00,59
00:17:00,56
00:18:00,58
00:19:00,52
00:20:00,54
00:21:00,56
00:22:00,57
00:23:00,62
00:24:00,58
00:25:00,56
00:26:00,56
00:27:00,55
00:28:00,56
00:29:00,56
00:30:00,57
00:31:00,59
00:32:00,57
00:33:00,57
00:34:00,54
00:35:00,57
00:36:00,58
00:37:00,55
00:38:00,55
00:39:00,59
00:40:00,63
00:41:00,58
00:42:00,56
00:43:00,58
00:44:00,59
00:45:00,59
00:46:00,55
00:47:00,58
00:48:00,59
00:49:00,58
00:50:00,56
00:51:00,56
00:52:00,55
00:53:00,54
00:54:00,52
00:55:00,55
00:56:00,55
00:57:00,54
00:58:00,54
00:59:00,54
01:00:00,56
01:01:00,52
01:02:00,53
01:03:00,52
01:04:00,49
01:05:00,54
01:06:00,52
01:07:00,51
01:08:00,52
01:09:00,50
01:10:00,50
01:11:00,49
01:12:00,49
01:13:00,48
01:14:00,48
01:15:00,49
01:16:00,48
01:17:00,47
01:18:00,48
01:19:00,49
01:20:00,48
01:21:00,47
01:22:00,47
01:23:00,47
01:24:00,48
01:25:00,46
01:26:00,47
01:27:00,47
01:28:00,47
01:29:00,47
01:30:00,47
01:31:00,47
01:32:00,47
01:33:00,47
01:34:00,46
01:35:00,46
01:36:00,51
01:37:00,50
01:38:00,49
01:39:00,48
01:40:00,48
01:41:00,52
01:42:00,60
01:43:00,50
01:44:00,50
01:45:00,52
01:46:00,48
01:47:00,51
01:48:00,48
01:49:00,51
01:50:00,51
01:51:00,49
01:52:00,55
01:53:00,49
01:54:00,48
01:55:00,50
01:56:00,51
01:57:00,50
01:58:00,52
01:59:00,53
02:00:00,50
02:01:00,52
02:02:00,49
02:03:00,51
02:04:00,51
02:05:00,52
02:06:00,55
02:07:00,52
02:08:00,48
02:09:00,51
02:10:00,51
02:11:00,51
02:12:00,51
02:13:00,50
02:14:00,50
02:15:00,50
02:16:00,48
02:17:00,49
02:18:00,50
02:19:00,50
02:20:00,52
02:21:00,50
02:22:00,49
02:23:00,51
02:24:00,50
02:25:00,50
02:26:00,50
02:27:00,49
02:28:00,50
02:29:00,49
02:30:00,51
02:31:00,50
02:32:00,52
02:33:00,50
02:34:00,51
02:35:00,50
02:36:00,51
02:37:00,50
02:38:00,52
02:39:00,50
02:40:00,53
02:41:00,51
02:42:00,53
02:43:00,51
02:44:00,51
02:45:00,50
02:46:00,48
02:47:00,50
02:48:00,51
02:49:00,50
02:50:00,50
02:51:00,52
02:52:00,51
02:53:00,49
02:54:00,49
02:55:00,50
02:56:00,50
02:57:00,51
02:58:00,50
02:59:00,51
03:00:00,58
03:01:00,52
03:02:00,53
03:03:00,51
03:04:00,50
03:05:00,50
03:06:00,49
03:07:00,50
03:08:00,56
03:09:00,53
03:10:00,55
03:11:00,50
03:12:00,55
03:13:00,50
03:14:00,51
03:15:00,57
03:16:00,56
03:17:00,56
03:18:00,58
03:19:00,60
03:20:00,51
03:21:00,48
03:22:00,54
03:23:00,52
03:24:00,49
03:25:00,52
03:26:00,50
03:27:00,53
03:28:00,56
03:29:00,50
03:30:00,49
03:31:00,48
03:32:00,49
03:33:00,46
03:34:00,47
03:35:00,48
03:36:00,49
03:37:00,51
03:38:00,48
03:39:00,47
03:40:00,49
03:41:00,49
03:42:00,50
03:43:00,52
03:44:00,50
03:45:00,52
03:46:00,63
03:47:00,51
03:48:00,50
03:49:00,49
03:50:00,51
03:51:00,50
03:52:00,54
03:53:00,64
03:54:00,53
03:55:00,55
03:56:00,55
03:57:00,50
03:58:00,51
03:59:00,48
04:00:00,52
04:01:00,52
04:02:00,51
04:03:00,50
04:04:00,50
04:05:00,48
04:06:00,51
04:07:00,51
04:08:00,50
04:09:00,50
04:10:00,51
04:11:00,48
04:12:00,50
04:13:00,52
04:14:00,50
04:15:00,51
04:16:00,50
04:17:00,48
04:18:00,49
04:19:00,48
04:20:00,49
04:21:00,47
04:22:00,48
04:23:00,46
04:24:00,47
04:25:00,46
04:26:00,46
04:27:00,47
04:28:00,45
04:29:00,46
04:30:00,45
04:31:00,44
04:32:00,49
04:33:00,51
04:34:00,47
04:35:00,46
04:36:00,47
04:37:00,46
04:38:00,47
04:39:00,46
04:40:00,46
04:41:00,47
04:42:00,46
04:43:00,48
04:44:00,47
04:45:00,46
04:46:00,51
04:47:00,55
04:48:00,47
04:49:00,48
04:50:00,48
04:51:00,51
04:52:00,47
04:53:00,45
04:54:00,47
04:55:00,46
04:56:00,47
04:57:00,49
04:58:00,45
04:59:00,46
05:00:00,57
05:01:00,46
05:02:00,49
05:03:00,50
05:04:00,54
05:05:00,54
05:06:00,51
05:07:00,49
05:08:00,48
05:09:00,51
05:10:00,49
05:11:00,52
05:12:00,50
05:13:00,50
05:14:00,51
05:15:00,59
05:16:00,72
05:17:00,73
05:18:00,62
05:19:00,59
05:20:00,70
05:21:00,68
05:22:00,66
05:23:00,66
05:24:00,65
05:25:00,66
05:26:00,70
05:27:00,57
05:28:00,57
05:29:00,51
05:30:00,52
05:31:00,60
05:32:00,60
05:33:00,53
05:34:00,52
05:35:00,60
05:36:00,64
05:37:00,64
05:38:00,60
05:39:00,65
05:40:00,64
05:41:00,63
05:42:00,64
05:43:00,62
05:44:00,61
05:45:00,63
05:46:00,63
05:47:00,64
05:48:00,61
05:49:00,57
05:50:00,58
05:51:00,60
05:52:00,63
05:53:00,69
05:54:00,72
05:55:00,73
05:56:00,72
05:57:00,72
05:58:00,69
05:59:00,61
06:00:00,57
06:01:00,59
06:02:00,60
06:03:00,59
06:04:00,61
06:05:00,65
06:06:00,62
06:07:00,69
06:08:00,73
06:09:00,71
06:10:00,69
06:11:00,66
06:12:00,71
06:13:00,68
06:14:00,69
06:15:00,55
06:16:00,54
06:17:00,58
06:18:00,54
06:19:00,56
06:20:00,55
06:21:00,54
06:22:00,57
06:23:00,56
06:24:00,66
06:25:00,70
06:26:00,54
06:27:00,54
06:28:00,55
06:29:00,81
06:30:00,116
06:31:00,86
06:32:00,91
06:33:00,62
06:34:00,54
06:35:00,56
06:36:00,58
06:37:00,64
06:38:00,62
06:39:00,62
06:40:00,60
06:41:00,60
06:42:00,61
06:43:00,59
06:44:00,61
06:45:00,62
06:46:00,59
06:47:00,58
06:48:00,56
06:49:00,57
06:50:00,59
06:51:00,63
06:52:00,56
06:53:00,56
06:54:00,55
06:55:00,54
06:56:00,58
06:57:00,76
06:58:00,76
06:59:00,74
07:00:00,61
07:01:00,66
07:02:00,73
07:03:00,68
07:04:00,78
07:05:00,92
07:06:00,64
07:07:00,61
07:08:00,63
07:09:00,61
07:10:00,63
07:11:00,62
07:12:00,57
07:13:00,57
07:14:00,57
07:15:00,56
07:16:00,61
07:17:00,58
07:18:00,57
07:19:00,55
07:20:00,56
07:21:00,56
07:22:00,56
07:23:00,61
07:24:00,57
07:25:00,56
07:26:00,57
07:27:00,62
07:28:00,61
07:29:00,61
07:30:00,67
07:31:00,62
07:32:00,62
07:33:00,56
07:34:00,66
07:35:00,65
07:36:00,66
07:37:00,77
07:38:00,82
07:39:00,70
07:40:00,57
07:41:00,63
07:42:00,83
07:43:00,91
07:44:00,105
07:45:00,109
07:46:00,109
07:47:00,111
07:48:00,108
07:49:00,97
07:50:00,104
07:51:00,116
07:52:00,109
