time,value
00:00:00,51
00:01:00,52
00:02:00,52
00:03:00,53
00:04:00,52
00:05:00,52
00:06:00,52
00:07:00,51
00:08:00,52
00:09:00,52
00:10:00,53
00:11:00,56
00:12:00,53
00:13:00,52
00:14:00,52
00:15:00,53
00:16:00,52
00:17:00,53
00:18:00,53
00:19:00,54
00:20:00,54
00:21:00,53
00:22:00,54
00:23:00,52
00:24:00,55
00:25:00,53
00:26:00,53
00:27:00,54
00:28:00,53
00:29:00,51
00:30:00,58
00:31:00,54
00:32:00,53
00:33:00,51
00:34:00,52
00:35:00,54
00:36:00,54
00:37:00,57
00:38:00,56
00:39:00,54
00:40:00,54
00:41:00,53
00:42:00,53
00:43:00,51
00:44:00,51
00:45:00,52
00:46:00,56
00:47:00,54
00:48:00,52
00:49:00,53
00:50:00,52
00:51:00,53
00:52:00,53
00:53:00,53
00:54:00,52
00:55:00,54
00:56:00,54
00:57:00,53
00:58:00,51
00:59:00,51
01:00:00,54
01:01:00,50
01:02:00,52
01:03:00,53
01:04:00,51
01:05:00,51
01:06:00,54
01:07:00,52
01:08:00,52
01:09:00,58
01:10:00,56
01:11:00,65
01:12:00,68
01:13:00,59
01:14:00,56
01:15:00,50
01:16:00,55
01:17:00,51
01:18:00,48
01:19:00,48
01:20:00,48
01:21:00,48
01:22:00,47
01:23:00,47
01:24:00,47
01:25:00,47
01:26:00,53
01:27:00,56
01:28:00,54
01:29:00,54
01:30:00,55
01:31:00,61
01:32:00,69
01:33:00,68
01:34:00,62
01:35:00,50
01:36:00,53
01:37:00,54
01:38:00,57
01:39:00,53
01:40:00,50
01:41:00,47
01:42:00,45
01:43:00,46
01:44:00,49
01:45:00,52
01:46:00,50
01:47:00,49
01:48:00,48
01:49:00,53
01:50:00,46
01:51:00,42
01:52:00,43
01:53:00,43
01:54:00,42
01:55:00,43
01:56:00,43
01:57:00,42
01:58:00,43
01:59:00,42
02:00:00,44
02:01:00,43
02:02:00,44
02:03:00,44
02:04:00,44
02:05:00,45
