time,value
08:57:00,62
08:58:00,64
08:59:00,60
09:00:00,64
09:01:00,67
09:02:00,70
09:03:00,69
09:04:00,74
09:05:00,67
09:06:00,61
09:07:00,58
09:08:00,59
09:09:00,59
09:10:00,61
09:11:00,62
09:12:00,63
09:13:00,68
09:14:00,70
09:15:00,57
09:16:00,57
09:17:00,58
09:18:00,69
09:19:00,66
09:20:00,60
09:21:00,71
09:22:00,62
09:23:00,66
09:24:00,61
09:25:00,63
09:26:00,72
09:27:00,57
09:28:00,62
09:29:00,60
09:30:00,62
09:31:00,60
09:32:00,55
09:33:00,57
09:34:00,56
09:35:00,59
09:36:00,57
09:37:00,58
09:38:00,61
09:39:00,56
09:40:00,65
09:41:00,69
09:42:00,68
09:43:00,61
09:44:00,63
09:45:00,59
09:46:00,57
09:47:00,59
09:48:00,54
09:49:00,54
09:50:00,57
09:51:00,66
09:52:00,58
09:53:00,61
09:54:00,55
09:55:00,54
09:56:00,58
09:57:00,59
09:58:00,64
09:59:00,61
10:00:00,61
10:01:00,62
10:02:00,62
10:03:00,60
10:04:00,67
10:05:00,67
10:06:00,58
10:07:00,58
10:08:00,54
10:09:00,60
10:10:00,55
10:11:00,59
10:12:00,54
10:13:00,57
10:14:00,60
10:15:00,60
10:16:00,59
10:17:00,56
10:18:00,61
10:19:00,61
10:20:00,53
10:21:00,58
10:22:00,57
10:23:00,60
10:24:00,59
10:25:00,60
10:26:00,61
10:27:00,57
10:28:00,57
10:29:00,55
10:30:00,57
10:31:00,55
10:32:00,56
10:33:00,52
10:34:00,54
10:35:00,57
10:36:00,57
10:37:00,58
10:38:00,61
10:39:00,57
10:40:00,55
10:41:00,56
10:42:00,57
10:43:00,56
10:44:00,53
10:45:00,57
10:46:00,57
10:47:00,62
10:48:00,62
10:49:00,61
10:50:00,59
10:51:00,54
10:52:00,54
10:53:00,55
10:54:00,55
10:55:00,54
10:56:00,54
10:57:00,53
10:58:00,58
10:59:00,56
11:00:00,53
11:01:00,55
11:02:00,55
11:03:00,57
11:04:00,67
11:05:00,55
11:06:00,58
11:07:00,57
11:08:00,55
11:09:00,58
11:10:00,62
11:11:00,60
11:12:00,52
11:13:00,54
11:14:00,57
11:15:00,62
11:16:00,61
11:17:00,59
11:18:00,56
11:19:00,54
11:20:00,56
11:21:00,53
11:22:00,51
11:23:00,54
11:24:00,52
11:25:00,66
11:26:00,65
11:27:00,58
11:28:00,51
11:29:00,53
11:30:00,59
11:31:00,55
11:32:00,53
11:33:00,55
11:34:00,60
11:35:00,60
11:36:00,60
11:37:00,56
11:38:00,53
11:39:00,54
11:40:00,63
11:41:00,60
11:42:00,57
11:43:00,59
11:44:00,57
11:45:00,57
11:46:00,59
11:47:00,54
11:48:00,56
11:49:00,55
11:50:00,52
11:51:00,52
11:52:00,53
11:53:00,54
11:54:00,60
11:55:00,57
11:56:00,51
11:57:00,54
11:58:00,63
11:59:00,62
12:00:00,56
12:01:00,53
12:02:00,53
12:03:00,53
12:04:00,51
12:05:00,52
12:06:00,55
12:07:00,51
12:08:00,75
12:09:00,82
12:10:00,58
12:11:00,51
12:12:00,55
12:13:00,52
12:14:00,54
12:15:00,50
12:16:00,53
12:17:00,52
12:18:00,58
12:19:00,54
12:20:00,54
12:21:00,58
12:22:00,56
12:23:00,56
12:24:00,58
12:25:00,54
12:26:00,54
12:27:00,53
12:28:00,58
12:29:00,69
12:30:00,60
12:31:00,56
12:32:00,58
12:33:00,57
12:34:00,56
12:35:00,54
12:36:00,52
12:37:00,58
12:38:00,65
12:39:00,60
12:40:00,53
12:41:00,54
12:42:00,52
12:43:00,54
12:44:00,57
12:45:00,56
12:46:00,55
12:47:00,56
12:48:00,58
12:49:00,52
12:50:00,60
12:51:00,65
12:52:00,70
12:53:00,76
12:54:00,65
12:55:00,63
12:56:00,58
12:57:00,60
12:58:00,60
12:59:00,62
13:00:00,62
13:01:00,57
13:02:00,57
13:03:00,63
13:04:00,63
13:05:00,65
13:06:00,65
13:07:00,69
13:08:00,65
13:09:00,72
13:10:00,89
13:11:00,90
13:12:00,85
13:13:00,84
13:14:00,84
13:15:00,82
13:16:00,64
13:17:00,70
13:18:00,81
13:19:00,85
13:20:00,74
13:21:00,86
13:22:00,93
13:23:00,93
13:24:00,91
13:25:00,73
13:26:00,70
13:27:00,63
13:28:00,60
13:29:00,58
13:30:00,58
13:31:00,57
13:32:00,54
13:33:00,60
13:34:00,63
13:35:00,62
13:36:00,59
13:37:00,57
13:38:00,58
13:39:00,59
13:40:00,70
13:41:00,60
13:42:00,54
13:43:00,55
13:44:00,61
13:45:00,58
13:46:00,57
13:47:00,57
13:48:00,60
13:49:00,60
13:50:00,60
13:51:00,62
13:52:00,65
13:53:00,59
13:54:00,63
13:55:00,62
13:56:00,65
13:57:00,62
13:58:00,59
13:59:00,67
14:00:00,122
14:01:00,91
14:02:00,92
14:03:00,71
14:04:00,70
14:05:00,65
14:06:00,74
14:07:00,91
14:08:00,81
14:09:00,65
14:10:00,66
14:11:00,66
14:12:00,63
14:13:00,62
14:14:00,66
14:15:00,63
14:16:00,68
14:17:00,70
14:18:00,64
14:19:00,66
14:20:00,64
14:21:00,63
14:22:00,65
14:23:00,65
14:24:00,63
14:25:00,60
14:26:00,61
14:27:00,62
14:28:00,61
14:29:00,57
14:30:00,57
14:31:00,63
14:32:00,61
14:33:00,59
14:34:00,61
14:35:00,67
14:36:00,67
14:37:00,65
14:38:00,65
14:39:00,63
14:40:00,63
14:41:00,61
14:42:00,58
14:43:00,59
14:44:00,58
14:45:00,60
14:46:00,61
14:47:00,59
14:48:00,61
14:49:00,57
14:50:00,67
14:51:00,59
