time,value
00:00:00,72
00:01:00,73
00:02:00,74
00:03:00,73
00:04:00,74
00:05:00,75
00:06:00,90
00:08:00,91
00:09:00,95
00:10:00,94
00:11:00,87
00:12:00,88
00:13:00,89
00:14:00,81
00:15:00,76
00:16:00,80
00:17:00,76
00:18:00,75
00:19:00,75
00:20:00,74
00:21:00,73
00:22:00,68
00:23:00,64
00:24:00,66
00:25:00,64
00:26:00,63
00:27:00,62
00:28:00,63
00:29:00,63
00:30:00,57
00:31:00,57
00:32:00,57
00:33:00,54
00:34:00,54
00:35:00,56
00:36:00,61
00:37:00,61
00:38:00,57
00:39:00,67
00:40:00,59
00:41:00,61
00:42:00,60
00:43:00,66
00:44:00,62
00:45:00,58
00:46:00,63
00:47:00,55
00:48:00,61
00:49:00,56
00:50:00,54
00:51:00,52
00:52:00,61
00:53:00,57
00:54:00,55
00:55:00,55
00:56:00,62
00:57:00,62
00:58:00,63
00:59:00,67
01:00:00,68
01:01:00,69
01:02:00,63
01:03:00,59
01:04:00,62
01:05:00,62
01:06:00,67
01:07:00,69
01:08:00,69
01:09:00,68
01:10:00,69
01:11:00,74
01:12:00,64
01:13:00,72
01:14:00,67
01:15:00,68
01:16:00,69
01:17:00,67
01:18:00,67
01:19:00,70
01:20:00,70
01:21:00,69
01:22:00,70
01:23:00,70
01:24:00,73
01:25:00,71
01:26:00,69
01:27:00,68
01:28:00,66
01:29:00,60
01:30:00,58
01:31:00,58
01:32:00,60
01:33:00,64
01:34:00,64
01:35:00,64
01:36:00,64
01:37:00,63
01:38:00,58
01:39:00,59
01:40:00,63
01:41:00,63
01:42:00,60
01:43:00,61
01:44:00,63
01:45:00,62
01:46:00,61
01:47:00,62
01:48:00,69
01:49:00,60
01:50:00,60
01:51:00,61
01:52:00,61
01:53:00,61
01:54:00,62
01:55:00,59
01:56:00,61
01:57:00,61
01:58:00,58
01:59:00,61
02:00:00,62
02:01:00,62
02:02:00,58
02:03:00,61
02:04:00,62
02:05:00,65
02:06:00,65
02:07:00,63
02:08:00,61
02:09:00,59
02:10:00,58
02:11:00,60
02:12:00,58
02:13:00,60
02:14:00,60
02:15:00,60
02:16:00,60
02:17:00,60
02:18:00,61
