time,value
00:00:00,45
00:01:00,46
00:02:00,44
00:03:00,46
00:04:00,47
00:05:00,45
00:06:00,45
00:07:00,45
00:08:00,44
00:09:00,46
00:10:00,46
00:11:00,45
00:12:00,45
00:13:00,45
00:14:00,46
00:15:00,49
00:16:00,45
00:17:00,45
00:18:00,45
00:19:00,44
00:20:00,40
00:21:00,42
00:22:00,47
00:23:00,59
00:24:00,59
00:25:00,59
00:26:00,60
00:27:00,60
00:28:00,62
00:29:00,66
00:30:00,68
00:31:00,68
00:32:00,62
00:33:00,65
00:34:00,55
00:35:00,51
00:36:00,53
00:38:00,66
00:39:00,71
00:40:00,72
00:41:00,74
00:42:00,66
00:43:00,54
00:44:00,59
00:45:00,58
00:46:00,54
00:47:00,58
00:48:00,57
00:49:00,48
00:50:00,49
00:51:00,49
00:52:00,50
00:53:00,52
00:54:00,48
00:55:00,48
00:56:00,48
00:57:00,49
00:58:00,47
00:59:00,48
01:00:00,46
01:01:00,47
01:02:00,46
01:03:00,47
01:04:00,49
01:05:00,46
01:06:00,46
01:07:00,47
01:08:00,50
01:09:00,50
01:10:00,46
01:11:00,49
01:12:00,48
01:13:00,48
01:14:00,51
01:15:00,48
01:16:00,46
01:17:00,48
01:18:00,46
01:19:00,52
01:20:00,46
01:21:00,47
01:22:00,48
01:23:00,49
01:24:00,46
01:25:00,46
01:26:00,44
01:27:00,45
01:28:00,45
01:29:00,44
01:30:00,49
01:31:00,51
01:32:00,50
01:33:00,49
01:34:00,48
01:35:00,45
01:36:00,46
01:37:00,46
01:38:00,44
01:39:00,44
01:40:00,44
01:41:00,44
01:42:00,44
01:43:00,45
01:44:00,43
01:45:00,46
01:46:00,45
01:47:00,49
01:48:00,45
01:49:00,46
01:50:00,47
01:51:00,46
01:52:00,46
01:53:00,48
01:54:00,44
01:55:00,47
01:56:00,46
01:57:00,47
01:58:00,43
01:59:00,48
02:00:00,48
02:01:00,47
02:02:00,46
02:03:00,45
02:04:00,44
02:05:00,45
02:06:00,46
02:07:00,46
02:08:00,46
02:09:00,46
02:10:00,50
02:11:00,44
02:12:00,45
02:13:00,44
02:14:00,45
02:15:00,46
02:16:00,44
02:17:00,45
02:18:00,46
02:19:00,46
02:20:00,48
02:21:00,48
02:22:00,46
02:23:00,47
02:24:00,47
02:25:00,47
02:26:00,46
02:27:00,45
02:28:00,46
02:29:00,52
02:30:00,52
02:31:00,44
02:32:00,45
02:33:00,49
02:34:00,43
02:35:00,42
02:36:00,43
02:37:00,43
02:38:00,43
02:39:00,43
02:40:00,43
02:41:00,46
02:42:00,46
02:43:00,45
02:44:00,44
02:45:00,44
02:46:00,44
02:47:00,43
02:48:00,45
02:49:00,45
02:50:00,46
02:51:00,46
02:52:00,45
02:53:00,45
02:54:00,45
02:55:00,46
02:56:00,45
02:57:00,46
02:58:00,45
02:59:00,45
03:00:00,46
03:01:00,45
03:02:00,45
03:03:00,45
03:04:00,47
03:05:00,48
03:06:00,43
03:07:00,43
03:08:00,43
03:09:00,43
03:10:00,42
03:11:00,42
03:12:00,43
03:13:00,43
03:14:00,43
03:15:00,43
03:16:00,44
03:17:00,44
03:18:00,44
03:19:00,44
03:20:00,48
03:21:00,44
03:22:00,44
03:23:00,45
03:24:00,43
03:25:00,43
03:26:00,44
03:27:00,43
03:28:00,43
03:29:00,43
03:30:00,43
03:31:00,44
03:32:00,43
03:33:00,43
03:34:00,43
03:35:00,43
03:36:00,43
03:37:00,43
03:38:00,43
03:39:00,42
03:40:00,43
03:41:00,43
03:42:00,43
03:43:00,43
03:44:00,42
03:45:00,42
03:46:00,42
03:47:00,48
03:48:00,65
03:49:00,46
03:50:00,42
03:51:00,42
03:52:00,42
03:53:00,43
03:54:00,41
03:55:00,42
03:56:00,42
03:57:00,42
03:58:00,42
03:59:00,45
04:00:00,43
04:01:00,47
04:02:00,44
04:03:00,50
04:04:00,43
04:05:00,42
04:06:00,45
04:07:00,47
04:08:00,44
04:09:00,47
04:10:00,44
04:11:00,42
04:12:00,42
04:13:00,42
04:14:00,43
04:15:00,43
04:16:00,43
04:17:00,44
04:18:00,49
04:19:00,47
04:20:00,44
04:21:00,44
04:22:00,45
04:23:00,44
04:24:00,44
04:25:00,43
04:26:00,44
04:27:00,44
04:28:00,43
04:29:00,43
04:30:00,44
04:31:00,44
04:32:00,43
04:33:00,44
04:34:00,43
04:35:00,43
04:36:00,44
04:37:00,43
04:38:00,43
04:39:00,47
04:40:00,46
04:41:00,46
04:42:00,46
04:43:00,45
04:44:00,46
04:45:00,44
04:46:00,49
04:47:00,48
04:48:00,44
04:49:00,51
04:50:00,46
04:51:00,49
04:52:00,46
04:53:00,45
04:54:00,46
04:55:00,47
04:56:00,47
04:57:00,46
04:58:00,45
04:59:00,44
05:00:00,44
05:01:00,45
05:02:00,49
05:03:00,56
05:04:00,47
05:05:00,46
05:06:00,47
05:07:00,50
05:08:00,61
05:09:00,69
05:10:00,70
05:11:00,64
05:12:00,64
05:13:00,63
05:14:00,64
05:15:00,60
05:16:00,60
05:17:00,61
05:18:00,64
05:19:00,64
05:20:00,67
05:21:00,71
05:22:00,68
05:23:00,69
05:24:00,67
05:25:00,66
05:26:00,64
05:27:00,62
05:28:00,66
05:29:00,66
05:30:00,69
05:31:00,66
05:32:00,65
05:33:00,72
05:34:00,72
05:35:00,73
05:36:00,77
05:37:00,75
05:38:00,74
