time,value
00:00:00,69
00:01:00,74
00:02:00,68
00:03:00,74
00:04:00,74
00:05:00,70
00:06:00,71
00:07:00,65
00:08:00,66
00:09:00,66
00:10:00,65
00:11:00,63
00:12:00,65
00:13:00,72
00:14:00,68
00:15:00,68
00:16:00,61
00:17:00,59
00:18:00,68
00:19:00,62
00:20:00,68
00:21:00,65
00:22:00,65
00:23:00,65
00:24:00,69
00:25:00,66
00:26:00,62
00:27:00,65
00:28:00,70
00:29:00,68
00:30:00,60
00:31:00,63
00:32:00,61
00:33:00,64
00:34:00,64
00:35:00,64
00:36:00,64
00:37:00,63
00:38:00,64
00:39:00,64
00:40:00,65
00:41:00,62
00:42:00,62
00:43:00,65
00:44:00,64
00:45:00,63
00:46:00,62
00:47:00,61
00:48:00,65
00:49:00,63
00:50:00,62
00:51:00,62
00:52:00,61
00:53:00,60
00:54:00,62
00:55:00,60
00:56:00,61
00:57:00,62
00:58:00,62
00:59:00,60
01:00:00,60
01:01:00,60
01:02:00,61
01:03:00,60
01:04:00,64
01:05:00,59
01:06:00,60
01:07:00,60
01:08:00,63
01:09:00,60
01:10:00,64
01:11:00,69
01:12:00,65
01:13:00,73
01:14:00,72
01:15:00,71
01:16:00,71
01:17:00,71
01:18:00,71
01:19:00,70
01:20:00,69
01:21:00,70
01:22:00,70
01:23:00,70
01:24:00,71
01:25:00,72
01:26:00,70
01:27:00,71
01:28:00,74
01:29:00,67
01:30:00,68
01:31:00,71
01:32:00,68
01:33:00,70
01:34:00,66
01:35:00,66
01:36:00,66
01:37:00,66
01:38:00,66
01:39:00,63
01:40:00,64
01:41:00,62
01:42:00,62
01:43:00,62
01:44:00,62
01:45:00,62
01:46:00,60
01:47:00,66
01:48:00,62
01:49:00,61
01:50:00,61
01:51:00,63
01:52:00,64
01:53:00,62
01:54:00,61
01:55:00,62
01:56:00,59
01:57:00,65
01:58:00,67
01:59:00,69
02:00:00,67
02:01:00,59
02:02:00,68
02:03:00,71
02:04:00,68
02:05:00,65
02:06:00,72
02:07:00,67
02:08:00,58
02:09:00,66
02:10:00,67
02:11:00,73
02:12:00,67
02:13:00,68
02:14:00,66
02:15:00,64
02:16:00,70
02:17:00,63
02:18:00,59
02:19:00,61
02:20:00,61
02:21:00,60
02:22:00,60
02:23:00,61
02:24:00,62
02:25:00,60
02:26:00,58
02:27:00,59
02:28:00,60
02:29:00,62
02:30:00,64
02:31:00,63
02:32:00,62
02:33:00,61
02:34:00,60
02:35:00,60
02:36:00,60
02:37:00,60
02:38:00,63
02:39:00,63
02:40:00,64
02:41:00,63
02:42:00,63
02:43:00,62
02:44:00,60
02:45:00,59
02:46:00,62
02:47:00,61
02:48:00,61
02:49:00,60
02:50:00,59
02:51:00,58
02:52:00,58
02:53:00,59
02:54:00,59
02:55:00,63
02:56:00,61
02:57:00,58
02:58:00,58
02:59:00,65
03:00:00,60
03:01:00,62
03:02:00,62
03:03:00,63
03:04:00,59
03:05:00,60
03:06:00,60
03:07:00,60
03:08:00,61
03:09:00,61
03:10:00,62
03:11:00,62
03:12:00,61
03:13:00,60
03:14:00,60
03:15:00,60
03:16:00,61
03:17:00,61
03:18:00,62
03:19:00,63
03:20:00,63
03:21:00,62
03:22:00,61
03:23:00,60
03:24:00,62
03:25:00,70
03:26:00,59
03:27:00,59
03:28:00,61
03:29:00,58
03:30:00,61
03:31:00,60
03:32:00,58
03:33:00,61
03:34:00,65
03:35:00,65
03:36:00,59
03:37:00,61
03:38:00,56
03:39:00,59
03:40:00,61
03:41:00,64
03:42:00,58
03:43:00,50
03:44:00,59
03:45:00,53
03:46:00,52
03:47:00,51
03:48:00,51
03:49:00,51
03:50:00,54
03:51:00,55
03:52:00,55
03:53:00,58
03:54:00,53
03:55:00,54
03:56:00,52
03:57:00,55
03:58:00,56
03:59:00,55
04:00:00,58
04:01:00,56
04:02:00,59
04:03:00,56
04:04:00,54
04:05:00,53
04:06:00,54
04:07:00,57
04:08:00,58
04:09:00,60
04:10:00,62
04:11:00,61
04:12:00,60
04:13:00,60
04:14:00,59
04:15:00,60
04:16:00,60
04:17:00,59
04:18:00,58
04:19:00,59
04:20:00,58
04:21:00,69
04:22:00,62
04:23:00,60
04:24:00,60
04:25:00,61
04:26:00,60
04:27:00,58
04:28:00,58
04:29:00,56
04:30:00,57
04:31:00,58
04:32:00,59
04:33:00,58
04:34:00,56
04:35:00,60
04:36:00,57
04:37:00,60
04:38:00,58
04:39:00,58
04:40:00,57
04:41:00,55
04:42:00,55
04:43:00,53
04:44:00,62
04:45:00,58
04:46:00,57
04:47:00,67
04:48:00,69
04:49:00,53
04:50:00,56
04:51:00,60
04:52:00,56
04:53:00,56
04:54:00,51
04:55:00,55
04:56:00,63
04:57:00,61
04:58:00,58
04:59:00,57
05:00:00,53
05:01:00,50
05:02:00,53
05:03:00,57
05:04:00,57
05:05:00,54
05:06:00,54
05:07:00,56
05:08:00,51
05:09:00,57
05:10:00,66
05:11:00,58
05:12:00,57
05:13:00,54
05:14:00,52
05:15:00,58
05:16:00,58
05:17:00,58
05:18:00,54
05:19:00,53
05:20:00,55
05:21:00,52
05:22:00,54
05:23:00,53
05:24:00,55
05:25:00,59
05:26:00,56
05:27:00,54
05:28:00,53
05:29:00,51
05:30:00,56
05:31:00,53
05:32:00,55
05:33:00,55
05:34:00,55
05:35:00,58
05:36:00,58
05:37:00,58
05:38:00,61
05:39:00,56
05:40:00,56
05:41:00,56
05:42:00,58
05:43:00,58
05:44:00,58
05:45:00,59
05:46:00,56
05:47:00,58
05:48:00,57
05:49:00,59
05:50:00,58
05:51:00,58
05:52:00,61
05:53:00,59
05:54:00,60
05:55:00,59
05:56:00,60
05:57:00,62
05:58:00,72
05:59:00,65
06:00:00,60
06:01:00,60
06:02:00,60
06:03:00,60
06:04:00,59
06:05:00,57
06:06:00,56
06:07:00,58
06:08:00,56
06:09:00,56
06:10:00,55
06:11:00,54
06:12:00,55
06:13:00,55
06:14:00,60
06:15:00,62
06:16:00,63
06:17:00,56
06:18:00,55
06:19:00,53
06:20:00,60
06:21:00,60
06:22:00,61
06:23:00,63
06:24:00,65
06:25:00,72
06:26:00,66
06:27:00,74
06:28:00,71
06:29:00,70
06:30:00,69
06:31:00,67
06:32:00,73
06:33:00,74
06:34:00,73
06:35:00,75
06:36:00,75
06:37:00,76
06:38:00,67
06:39:00,73
06:40:00,76
06:41:00,72
06:42:00,68
06:43:00,69
06:44:00,65
06:45:00,68
06:46:00,68
06:47:00,65
06:48:00,71
06:49:00,70
06:50:00,66
06:51:00,69
06:52:00,70
06:53:00,71
06:54:00,72
06:55:00,74
06:56:00,70
06:57:00,72
06:58:00,75
06:59:00,74
07:00:00,79
07:01:00,80
07:02:00,80
07:03:00,77
07:04:00,82
07:05:00,88
07:06:00,86
07:07:00,89
07:08:00,89
07:09:00,80
07:10:00,71
07:11:00,76
07:12:00,80
07:13:00,75
07:14:00,80
07:15:00,80
07:16:00,74
07:17:00,79
07:18:00,88
07:19:00,86
07:20:00,86
07:21:00,89
07:22:00,68
07:23:00,64
07:24:00,62
07:25:00,70
07:26:00,76
07:27:00,70
07:28:00,67
07:29:00,63
07:30:00,66
07:31:00,67
07:32:00,63
07:33:00,67
07:34:00,64
07:35:00,63
07:36:00,62
07:37:00,69
07:38:00,64
07:39:00,64
07:40:00,78
07:41:00,68
07:42:00,61
07:43:00,62
07:44:00,63
07:45:00,68
07:46:00,71
07:47:00,70
07:48:00,70
07:49:00,72
07:50:00,70
07:51:00,69
07:52:00,65
07:53:00,71
07:54:00,70
07:55:00,69
07:56:00,72
07:57:00,67
07:58:00,68
07:59:00,72
08:00:00,72
08:01:00,72
08:02:00,72
08:03:00,73
08:04:00,75
08:05:00,75
08:06:00,74
08:07:00,75
08:08:00,76
08:09:00,89
08:10:00,96
08:11:00,95
08:12:00,100
08:13:00,113
08:14:00,100
08:15:00,99
08:16:00,94
08:17:00,96
08:18:00,101
08:19:00,105
08:20:00,105
08:21:00,117
08:22:00,118
08:24:00,100
08:25:00,113
08:26:00,108
08:27:00,104
08:28:00,110
08:29:00,110
08:30:00,115
08:31:00,111
08:33:00,101
08:34:00,99
08:35:00,98
08:36:00,103
08:37:00,112
08:38:00,118
08:39:00,118
08:40:00,117
08:41:00,110
08:42:00,103
08:43:00,100
08:45:00,102
08:46:00,100
08:47:00,118
08:48:00,113
08:49:00,110
08:50:00,103
08:51:00,96
08:52:00,96
08:53:00,105
08:54:00,104
08:55:00,103
08:56:00,93
08:57:00,100
08:58:00,94
08:59:00,97
09:00:00,94
09:01:00,106
09:02:00,107
09:03:00,103
09:04:00,107
09:05:00,88
09:06:00,98
09:07:00,97
09:09:00,100
09:10:00,99
09:11:00,90
09:12:00,96
09:13:00,101
09:15:00,94
09:16:00,96
09:17:00,92
09:18:00,90
09:19:00,88
09:20:00,92
09:21:00,99
09:22:00,106
09:23:00,105
09:24:00,92
09:25:00,99
09:26:00,97
09:27:00,89
09:28:00,109
09:29:00,94
09:30:00,88
09:31:00,87
09:32:00,83
09:33:00,78
09:34:00,73
09:35:00,72
09:36:00,77
09:37:00,72
09:38:00,72
09:39:00,70
09:40:00,70
09:41:00,68
09:42:00,72
09:43:00,78
09:44:00,62
09:45:00,55
09:46:00,56
09:47:00,59
09:48:00,57
09:49:00,63
09:50:00,66
09:51:00,62
