time,value
00:00:00,64
00:01:00,65
00:02:00,70
00:03:00,71
00:04:00,72
00:05:00,72
00:06:00,71
00:07:00,68
00:08:00,70
00:09:00,67
00:10:00,66
00:11:00,66
00:12:00,67
00:13:00,65
00:14:00,62
00:15:00,63
00:16:00,67
00:17:00,77
00:18:00,70
00:19:00,62
00:20:00,65
00:21:00,70
00:22:00,70
00:23:00,69
00:24:00,71
00:25:00,70
00:26:00,83
00:27:00,83
00:28:00,83
00:29:00,72
00:30:00,64
00:31:00,66
00:32:00,67
00:33:00,70
00:34:00,86
00:35:00,77
00:36:00,66
00:37:00,67
00:38:00,68
00:39:00,70
00:40:00,63
00:41:00,66
00:42:00,70
00:43:00,70
00:44:00,74
00:45:00,65
00:46:00,64
00:47:00,66
00:48:00,67
00:49:00,66
00:50:00,67
00:51:00,68
00:52:00,66
00:53:00,68
00:54:00,71
00:55:00,64
00:56:00,64
00:57:00,62
00:58:00,64
00:59:00,65
01:00:00,65
01:01:00,65
01:02:00,67
01:03:00,64
01:04:00,63
01:05:00,69
01:06:00,63
01:07:00,60
01:08:00,63
01:09:00,62
01:10:00,63
01:11:00,60
01:12:00,62
01:13:00,67
01:14:00,67
01:15:00,63
01:16:00,67
01:17:00,70
01:18:00,64
01:19:00,65
01:20:00,67
01:21:00,65
01:22:00,61
01:23:00,69
01:24:00,70
01:25:00,63
01:26:00,62
01:27:00,65
01:28:00,66
01:29:00,57
01:30:00,55
01:31:00,54
01:32:00,54
01:33:00,54
01:34:00,57
01:35:00,54
01:36:00,56
01:37:00,55
01:38:00,54
01:39:00,56
01:40:00,56
01:41:00,56
01:42:00,57
01:43:00,54
01:44:00,52
01:45:00,54
01:46:00,55
01:47:00,56
01:48:00,55
01:49:00,55
01:50:00,55
01:51:00,55
01:52:00,56
01:53:00,53
01:54:00,54
01:55:00,54
01:56:00,52
01:57:00,54
01:58:00,53
01:59:00,56
02:00:00,54
02:01:00,53
02:02:00,53
02:03:00,54
02:04:00,53
02:05:00,54
02:06:00,51
02:07:00,53
02:08:00,53
02:09:00,53
02:10:00,53
02:11:00,53
02:12:00,52
02:13:00,51
02:14:00,52
02:15:00,53
02:16:00,54
02:17:00,56
02:18:00,56
02:19:00,55
02:20:00,57
02:21:00,57
02:22:00,70
02:23:00,51
02:24:00,51
02:25:00,52
02:26:00,49
02:27:00,50
02:28:00,49
02:29:00,49
02:30:00,53
02:31:00,56
02:32:00,50
02:33:00,50
02:34:00,57
02:35:00,54
02:36:00,54
02:37:00,56
02:38:00,54
02:39:00,55
02:40:00,53
02:41:00,58
02:42:00,58
02:43:00,57
02:44:00,53
02:45:00,58
02:46:00,60
02:47:00,54
02:48:00,58
02:49:00,55
02:50:00,54
02:51:00,58
02:52:00,53
02:53:00,54
02:54:00,55
02:55:00,52
02:56:00,54
02:57:00,49
02:58:00,54
02:59:00,59
03:00:00,58
03:01:00,54
03:02:00,52
03:03:00,53
03:04:00,53
03:05:00,48
03:06:00,50
03:07:00,54
03:08:00,50
03:09:00,52
03:10:00,49
03:11:00,51
03:12:00,49
03:13:00,49
03:14:00,51
03:15:00,51
03:16:00,53
03:17:00,51
03:18:00,51
03:19:00,49
03:20:00,50
03:21:00,50
03:22:00,48
03:23:00,48
03:24:00,48
03:25:00,47
03:26:00,48
03:27:00,47
03:28:00,49
03:29:00,46
03:30:00,49
03:31:00,46
03:32:00,49
03:33:00,47
03:34:00,47
03:35:00,49
03:36:00,45
03:37:00,45
03:38:00,48
03:39:00,46
03:40:00,49
03:41:00,49
03:42:00,47
03:43:00,50
03:44:00,48
03:45:00,48
03:46:00,47
03:47:00,47
03:48:00,48
03:49:00,47
03:50:00,47
03:51:00,47
03:52:00,46
03:53:00,49
03:54:00,48
03:55:00,47
03:56:00,46
03:57:00,47
03:58:00,46
03:59:00,47
04:00:00,46
04:01:00,46
04:02:00,46
04:03:00,45
04:04:00,46
04:05:00,46
04:06:00,45
04:07:00,46
04:08:00,45
04:09:00,47
04:10:00,47
04:11:00,47
04:12:00,47
04:13:00,47
04:14:00,47
04:15:00,48
04:16:00,46
04:17:00,46
04:18:00,57
04:19:00,48
04:20:00,46
04:21:00,45
04:22:00,44
04:23:00,44
04:24:00,44
04:25:00,44
04:26:00,44
04:27:00,43
04:28:00,43
04:29:00,43
04:30:00,43
04:31:00,44
04:32:00,44
04:33:00,43
04:34:00,44
04:35:00,48
04:36:00,47
04:37:00,46
04:38:00,45
04:39:00,46
04:40:00,45
04:41:00,45
04:42:00,45
04:43:00,46
04:44:00,48
04:45:00,48
04:46:00,45
04:47:00,45
04:48:00,49
04:49:00,58
04:50:00,51
04:51:00,50
04:52:00,48
04:53:00,48
04:54:00,46
04:55:00,49
04:56:00,47
04:57:00,48
04:58:00,48
04:59:00,47
05:00:00,47
05:01:00,47
05:02:00,49
05:03:00,47
05:04:00,48
05:05:00,46
05:06:00,47
05:07:00,47
05:08:00,47
05:09:00,46
05:10:00,47
05:11:00,48
05:12:00,46
05:13:00,48
05:14:00,48
05:15:00,47
05:16:00,47
05:17:00,47
05:18:00,48
05:19:00,46
05:20:00,44
05:21:00,46
05:22:00,45
05:23:00,46
05:24:00,45
05:25:00,45
05:26:00,45
05:27:00,45
05:28:00,44
05:29:00,45
05:30:00,46
05:31:00,46
05:32:00,45
05:33:00,46
05:34:00,50
05:35:00,50
05:36:00,45
05:37:00,44
05:38:00,45
05:39:00,45
05:40:00,44
05:41:00,47
05:42:00,44
05:43:00,42
05:44:00,43
05:45:00,47
05:46:00,42
05:47:00,47
05:48:00,43
05:49:00,47
05:50:00,44
05:51:00,44
05:52:00,44
05:53:00,43
05:54:00,45
05:55:00,42
05:56:00,42
05:57:00,42
05:58:00,43
05:59:00,43
06:00:00,41
06:01:00,46
06:02:00,50
06:03:00,49
06:04:00,49
06:05:00,48
06:06:00,46
06:07:00,44
06:08:00,45
06:09:00,44
06:10:00,45
06:11:00,45
06:12:00,45
06:13:00,45
06:14:00,43
06:15:00,43
06:16:00,44
06:17:00,43
06:18:00,43
06:19:00,43
06:20:00,44
06:21:00,45
06:22:00,44
06:23:00,44
06:24:00,43
06:25:00,44
06:26:00,44
06:27:00,43
06:28:00,43
06:29:00,44
06:30:00,44
06:31:00,43
06:32:00,44
06:33:00,43
06:34:00,43
06:35:00,44
06:36:00,44
06:37:00,45
06:38:00,43
06:39:00,42
06:40:00,44
06:41:00,44
06:42:00,43
06:43:00,43
06:44:00,44
06:45:00,43
06:46:00,43
06:47:00,43
06:48:00,44
06:49:00,44
06:50:00,43
06:51:00,44
06:52:00,43
06:53:00,44
06:54:00,43
06:55:00,44
06:56:00,44
06:57:00,43
06:58:00,43
06:59:00,43
07:00:00,44
07:01:00,44
07:02:00,43
07:03:00,43
07:04:00,44
07:05:00,43
07:06:00,45
07:07:00,43
07:08:00,44
07:09:00,44
07:10:00,48
07:11:00,60
07:12:00,72
07:13:00,48
07:14:00,42
07:15:00,48
07:16:00,45
07:17:00,43
07:18:00,45
07:19:00,44
07:20:00,48
07:21:00,51
07:22:00,45
07:23:00,44
07:24:00,43
07:25:00,43
07:26:00,44
07:27:00,44
07:28:00,44
07:29:00,43
07:30:00,43
07:31:00,44
07:32:00,43
07:33:00,43
07:34:00,43
07:35:00,44
07:36:00,44
07:37:00,42
07:38:00,46
07:39:00,47
07:40:00,50
07:41:00,45
07:42:00,44
07:43:00,44
07:44:00,43
07:45:00,44
07:46:00,44
07:47:00,45
07:48:00,45
07:49:00,44
07:50:00,44
07:51:00,45
07:52:00,47
07:53:00,45
07:54:00,44
07:55:00,44
07:56:00,43
07:57:00,70
07:58:00,54
07:59:00,58
08:00:00,50
08:01:00,44
08:02:00,44
08:03:00,48
08:04:00,50
08:05:00,45
08:06:00,52
08:07:00,79
08:08:00,85
08:09:00,61
08:10:00,55
08:11:00,56
08:12:00,58
08:13:00,59
08:14:00,60
08:15:00,60
08:16:00,73
08:17:00,79
08:18:00,78
08:19:00,77
08:20:00,74
08:21:00,72
08:22:00,67
08:23:00,61
08:24:00,58
08:25:00,58
08:26:00,59
08:27:00,51
08:28:00,53
08:29:00,55
08:30:00,49
08:31:00,53
08:32:00,54
08:33:00,51
08:34:00,48
08:35:00,48
08:36:00,49
08:37:00,50
08:38:00,50
08:39:00,50
08:40:00,63
08:41:00,53
08:42:00,51
08:43:00,49
08:44:00,46
08:45:00,52
08:46:00,49
08:47:00,49
08:48:00,47
08:49:00,47
08:50:00,57
08:51:00,68
08:52:00,57
08:53:00,46
08:54:00,47
08:55:00,48
08:56:00,54
08:57:00,55
08:58:00,57
08:59:00,50
09:00:00,55
09:01:00,65
09:02:00,68
09:03:00,66
09:04:00,61
09:05:00,58
09:06:00,67
09:07:00,77
09:08:00,77
09:09:00,81
09:10:00,86
09:11:00,98
09:12:00,105
09:13:00,100
09:14:00,109
09:15:00,126
09:16:00,105
09:17:00,82
09:18:00,72
09:19:00,71
09:20:00,77
09:21:00,66
09:22:00,68
09:23:00,73
09:24:00,72
09:25:00,81
09:26:00,78
09:27:00,75
09:28:00,73
09:29:00,79
09:30:00,87
09:31:00,78
09:32:00,69
09:33:00,68
09:34:00,66
09:35:00,62
09:36:00,76
09:37:00,83
09:38:00,94
09:39:00,94
09:40:00,98
09:41:00,99
09:42:00,96
09:43:00,89
09:44:00,85
09:45:00,75
09:46:00,75
09:47:00,69
09:48:00,64
09:49:00,63
09:50:00,66
09:51:00,69
09:52:00,80
09:53:00,83
09:54:00,81
09:55:00,92
09:56:00,94
09:57:00,92
09:58:00,82
09:59:00,71
10:00:00,70
10:01:00,66
10:02:00,67
10:03:00,74
10:04:00,78
10:05:00,70
10:06:00,65
10:07:00,66
10:08:00,76
10:09:00,74
10:10:00,73
10:11:00,67
10:12:00,64
10:13:00,63
10:14:00,62
10:15:00,62
10:16:00,61
10:17:00,64
10:18:00,62
10:19:00,63
10:20:00,63
10:21:00,63
10:22:00,63
10:23:00,64
10:24:00,68
10:25:00,86
10:26:00,116
10:27:00,108
10:28:00,107
10:29:00,109
10:30:00,92
10:31:00,81
10:32:00,85
10:33:00,89
10:34:00,89
10:35:00,81
10:36:00,74
10:37:00,68
10:38:00,68
10:39:00,80
10:40:00,82
10:41:00,85
10:42:00,103
10:43:00,130
10:44:00,127
10:45:00,109
10:46:00,87
10:47:00,82
10:48:00,73
10:49:00,79
10:50:00,69
10:51:00,73
10:52:00,70
10:53:00,69
10:54:00,71
10:55:00,68
10:56:00,70
10:57:00,70
10:58:00,66
10:59:00,68
11:00:00,65
11:01:00,67
11:02:00,71
11:03:00,67
11:04:00,76
11:05:00,68
11:06:00,59
11:07:00,61
11:08:00,61
11:09:00,61
11:10:00,63
11:11:00,60
11:12:00,70
11:13:00,73
11:14:00,72
11:15:00,75
11:16:00,77
11:17:00,72
11:18:00,73
11:19:00,82
11:20:00,70
11:21:00,75
11:22:00,82
11:23:00,81
11:24:00,79
11:25:00,82
11:26:00,80
11:27:00,79
11:28:00,88
11:29:00,99
11:30:00,101
11:31:00,104
11:32:00,106
11:33:00,88
11:34:00,68
11:35:00,71
11:36:00,67
11:37:00,65
11:38:00,57
11:39:00,60
11:40:00,61
11:41:00,72
11:42:00,66
11:43:00,61
11:44:00,59
11:45:00,60
11:46:00,60
11:47:00,59
11:48:00,60
11:49:00,60
11:50:00,65
11:51:00,58
11:52:00,59
11:53:00,64
11:54:00,61
11:55:00,59
11:56:00,58
11:57:00,59
11:58:00,61
11:59:00,60
12:00:00,56
12:01:00,58
12:02:00,58
12:03:00,57
12:04:00,57
