time,value
06:21:00,75
06:22:00,72
06:23:00,68
06:24:00,68
06:25:00,67
06:26:00,63
06:27:00,68
06:28:00,68
06:29:00,67
06:30:00,70
06:31:00,69
06:32:00,73
06:33:00,84
06:34:00,78
06:35:00,80
06:36:00,80
06:37:00,79
06:38:00,78
06:39:00,74
06:40:00,70
06:41:00,76
06:42:00,75
06:43:00,81
06:44:00,77
06:45:00,68
06:46:00,72
06:47:00,80
06:48:00,72
06:49:00,74
06:50:00,73
06:51:00,72
06:52:00,59
06:53:00,60
06:54:00,67
06:55:00,63
06:56:00,63
06:57:00,63
06:58:00,66
06:59:00,69
07:00:00,67
07:01:00,67
07:02:00,67
07:03:00,63
07:04:00,69
07:05:00,67
07:06:00,64
07:07:00,69
07:08:00,74
07:09:00,67
07:10:00,63
07:11:00,67
07:12:00,72
07:13:00,67
07:14:00,58
07:15:00,62
07:16:00,61
07:17:00,58
07:18:00,56
07:19:00,55
07:20:00,62
07:21:00,57
07:22:00,54
07:23:00,55
07:24:00,53
07:25:00,55
07:26:00,54
07:27:00,53
07:28:00,55
07:29:00,53
07:30:00,50
07:31:00,52
07:32:00,54
07:33:00,52
07:34:00,56
07:35:00,55
07:36:00,50
07:37:00,48
07:38:00,48
07:39:00,48
07:40:00,47
07:41:00,49
07:42:00,49
07:43:00,48
07:44:00,52
07:45:00,55
07:46:00,50
07:47:00,48
07:48:00,51
07:49:00,49
07:50:00,54
07:51:00,55
07:52:00,47
07:53:00,52
07:54:00,53
07:55:00,49
07:56:00,49
07:57:00,55
07:58:00,55
07:59:00,50
08:00:00,47
08:01:00,48
08:02:00,48
08:03:00,52
08:04:00,47
08:05:00,46
08:06:00,47
08:07:00,49
08:08:00,52
08:09:00,49
08:10:00,49
08:11:00,49
08:12:00,49
08:13:00,51
08:14:00,51
08:15:00,47
08:16:00,48
08:17:00,50
08:18:00,48
08:19:00,45
08:20:00,46
08:21:00,46
08:22:00,48
08:23:00,50
08:24:00,48
08:25:00,51
08:26:00,50
08:27:00,50
08:28:00,47
08:29:00,45
08:30:00,47
08:31:00,47
08:32:00,54
08:33:00,50
08:34:00,50
08:35:00,50
08:36:00,55
08:37:00,59
08:38:00,64
08:39:00,66
08:40:00,65
08:41:00,64
08:42:00,57
08:43:00,51
08:44:00,51
08:45:00,49
08:46:00,49
08:47:00,49
08:48:00,51
08:49:00,56
08:50:00,54
08:51:00,54
08:52:00,53
08:53:00,53
08:54:00,52
08:55:00,53
08:56:00,52
08:57:00,54
08:58:00,59
08:59:00,67
09:00:00,65
09:01:00,69
09:02:00,75
09:03:00,79
09:04:00,77
09:05:00,81
09:06:00,93
09:07:00,93
09:08:00,98
09:09:00,103
09:10:00,101
09:11:00,104
09:12:00,97
09:13:00,93
09:14:00,85
09:15:00,78
09:16:00,80
09:17:00,89
09:18:00,81
09:19:00,74
09:20:00,71
09:21:00,66
09:22:00,68
09:23:00,67
09:24:00,70
09:25:00,81
09:26:00,77
09:27:00,72
09:28:00,75
09:29:00,65
09:30:00,64
09:31:00,65
09:32:00,55
09:33:00,62
09:34:00,72
09:35:00,71
09:36:00,60
09:37:00,57
09:38:00,70
09:39:00,68
09:40:00,63
09:41:00,62
09:42:00,58
09:43:00,61
09:44:00,65
09:45:00,65
09:46:00,64
09:47:00,63
09:48:00,62
09:49:00,74
09:50:00,77
09:51:00,76
09:52:00,74
09:53:00,60
09:54:00,63
09:55:00,68
09:56:00,57
09:57:00,58
09:58:00,62
09:59:00,65
10:00:00,71
10:01:00,70
10:02:00,62
10:03:00,52
10:04:00,54
10:05:00,63
10:06:00,65
10:07:00,67
10:08:00,54
10:09:00,70
10:10:00,79
10:11:00,81
10:12:00,86
10:13:00,75
10:14:00,57
10:15:00,47
10:16:00,49
10:17:00,50
10:18:00,54
10:19:00,58
10:20:00,54
10:21:00,50
10:22:00,54
10:23:00,56
10:24:00,58
10:25:00,60
10:26:00,58
10:27:00,61
10:28:00,67
10:29:00,77
10:30:00,99
10:31:00,111
10:32:00,113
10:33:00,116
10:34:00,112
10:35:00,95
10:36:00,108
10:37:00,115
10:38:00,122
10:39:00,108
10:40:00,125
10:41:00,128
10:42:00,119
10:43:00,120
10:44:00,100
10:45:00,96
10:46:00,100
10:47:00,112
10:48:00,119
10:49:00,117
10:50:00,122
10:51:00,112
10:52:00,112
10:53:00,96
10:54:00,95
10:55:00,113
10:56:00,114
10:57:00,90
10:58:00,92
11:00:00,101
11:01:00,97
11:02:00,81
11:03:00,84
11:04:00,92
11:05:00,93
11:06:00,89
11:07:00,91
11:08:00,92
11:09:00,93
11:10:00,95
11:11:00,87
11:12:00,93
11:13:00,90
11:14:00,92
11:15:00,91
11:16:00,94
11:17:00,94
11:18:00,93
11:19:00,95
11:20:00,93
11:21:00,95
11:22:00,96
11:23:00,93
11:24:00,96
11:25:00,93
11:26:00,100
11:27:00,120
11:28:00,104
11:29:00,101
11:30:00,88
